Epoch 1/100 | Time: 60.77s | Train Acc: 0.2280 | Val Acc: 0.2642 | Train Loss: 2.1492 | Val Loss: 2.0546
Epoch 2/100 | Time: 68.27s | Train Acc: 0.3011 | Val Acc: 0.3269 | Train Loss: 1.9910 | Val Loss: 1.9481
Epoch 3/100 | Time: 70.53s | Train Acc: 0.3792 | Val Acc: 0.4270 | Train Loss: 1.8382 | Val Loss: 1.7207
Epoch 4/100 | Time: 71.82s | Train Acc: 0.4474 | Val Acc: 0.4754 | Train Loss: 1.6946 | Val Loss: 1.6379
Epoch 5/100 | Time: 70.96s | Train Acc: 0.4989 | Val Acc: 0.4950 | Train Loss: 1.5801 | Val Loss: 1.5942
Epoch 6/100 | Time: 70.50s | Train Acc: 0.5215 | Val Acc: 0.4948 | Train Loss: 1.5135 | Val Loss: 1.6101
Epoch 7/100 | Time: 71.41s | Train Acc: 0.5475 | Val Acc: 0.5445 | Train Loss: 1.4533 | Val Loss: 1.4624
Epoch 8/100 | Time: 71.70s | Train Acc: 0.5654 | Val Acc: 0.5590 | Train Loss: 1.4005 | Val Loss: 1.4333
Epoch 9/100 | Time: 71.87s | Train Acc: 0.5808 | Val Acc: 0.5610 | Train Loss: 1.3710 | Val Loss: 1.4318
Epoch 10/100 | Time: 71.35s | Train Acc: 0.5876 | Val Acc: 0.5687 | Train Loss: 1.3475 | Val Loss: 1.4095
Epoch 11/100 | Time: 72.14s | Train Acc: 0.5477 | Val Acc: 0.5590 | Train Loss: 1.4592 | Val Loss: 1.4440
Epoch 12/100 | Time: 71.36s | Train Acc: 0.5719 | Val Acc: 0.5796 | Train Loss: 1.3927 | Val Loss: 1.3746
Epoch 13/100 | Time: 70.56s | Train Acc: 0.5911 | Val Acc: 0.5824 | Train Loss: 1.3392 | Val Loss: 1.3750
Epoch 14/100 | Time: 72.31s | Train Acc: 0.6114 | Val Acc: 0.5967 | Train Loss: 1.2884 | Val Loss: 1.3492
Epoch 15/100 | Time: 71.72s | Train Acc: 0.6230 | Val Acc: 0.6112 | Train Loss: 1.2566 | Val Loss: 1.3036
Epoch 16/100 | Time: 71.79s | Train Acc: 0.6414 | Val Acc: 0.6367 | Train Loss: 1.2139 | Val Loss: 1.2718
Epoch 17/100 | Time: 71.84s | Train Acc: 0.6590 | Val Acc: 0.6553 | Train Loss: 1.1727 | Val Loss: 1.2033
Epoch 18/100 | Time: 71.69s | Train Acc: 0.6651 | Val Acc: 0.6385 | Train Loss: 1.1408 | Val Loss: 1.2677
Epoch 19/100 | Time: 71.03s | Train Acc: 0.6890 | Val Acc: 0.6583 | Train Loss: 1.0972 | Val Loss: 1.2168
Epoch 20/100 | Time: 72.19s | Train Acc: 0.6916 | Val Acc: 0.6706 | Train Loss: 1.0789 | Val Loss: 1.1843
Epoch 21/100 | Time: 72.04s | Train Acc: 0.7104 | Val Acc: 0.6708 | Train Loss: 1.0500 | Val Loss: 1.1716
Epoch 22/100 | Time: 70.92s | Train Acc: 0.7157 | Val Acc: 0.6856 | Train Loss: 1.0202 | Val Loss: 1.1788
Epoch 23/100 | Time: 71.71s | Train Acc: 0.7283 | Val Acc: 0.6930 | Train Loss: 0.9895 | Val Loss: 1.1445
Epoch 24/100 | Time: 70.19s | Train Acc: 0.7394 | Val Acc: 0.6882 | Train Loss: 0.9720 | Val Loss: 1.1351
Epoch 25/100 | Time: 71.33s | Train Acc: 0.7474 | Val Acc: 0.6904 | Train Loss: 0.9527 | Val Loss: 1.1520
Epoch 26/100 | Time: 71.49s | Train Acc: 0.7528 | Val Acc: 0.6989 | Train Loss: 0.9291 | Val Loss: 1.1249
Epoch 27/100 | Time: 71.62s | Train Acc: 0.7602 | Val Acc: 0.6958 | Train Loss: 0.9205 | Val Loss: 1.1317
Epoch 28/100 | Time: 71.22s | Train Acc: 0.7681 | Val Acc: 0.6955 | Train Loss: 0.9047 | Val Loss: 1.1254
Epoch 29/100 | Time: 71.45s | Train Acc: 0.7627 | Val Acc: 0.7027 | Train Loss: 0.9053 | Val Loss: 1.1134
Epoch 30/100 | Time: 72.48s | Train Acc: 0.7680 | Val Acc: 0.6991 | Train Loss: 0.8985 | Val Loss: 1.1152
Epoch 31/100 | Time: 70.99s | Train Acc: 0.7083 | Val Acc: 0.6724 | Train Loss: 1.0416 | Val Loss: 1.1767
Epoch 32/100 | Time: 71.62s | Train Acc: 0.7210 | Val Acc: 0.6782 | Train Loss: 1.0053 | Val Loss: 1.1667
Epoch 33/100 | Time: 71.33s | Train Acc: 0.7251 | Val Acc: 0.6994 | Train Loss: 0.9996 | Val Loss: 1.1449
Epoch 34/100 | Time: 71.50s | Train Acc: 0.7263 | Val Acc: 0.6917 | Train Loss: 0.9856 | Val Loss: 1.1113
Epoch 35/100 | Time: 71.02s | Train Acc: 0.7432 | Val Acc: 0.6983 | Train Loss: 0.9600 | Val Loss: 1.0957
Epoch 36/100 | Time: 71.82s | Train Acc: 0.7420 | Val Acc: 0.7037 | Train Loss: 0.9502 | Val Loss: 1.0888
Epoch 37/100 | Time: 70.13s | Train Acc: 0.7567 | Val Acc: 0.6989 | Train Loss: 0.9195 | Val Loss: 1.1069
Epoch 38/100 | Time: 71.83s | Train Acc: 0.7590 | Val Acc: 0.7052 | Train Loss: 0.9127 | Val Loss: 1.0896
Epoch 39/100 | Time: 71.72s | Train Acc: 0.7654 | Val Acc: 0.7055 | Train Loss: 0.8925 | Val Loss: 1.0815
Epoch 40/100 | Time: 72.15s | Train Acc: 0.7752 | Val Acc: 0.7177 | Train Loss: 0.8741 | Val Loss: 1.0646
Epoch 41/100 | Time: 71.76s | Train Acc: 0.7816 | Val Acc: 0.7039 | Train Loss: 0.8489 | Val Loss: 1.0978
Epoch 42/100 | Time: 71.67s | Train Acc: 0.7933 | Val Acc: 0.7246 | Train Loss: 0.8242 | Val Loss: 1.0672
Epoch 43/100 | Time: 72.15s | Train Acc: 0.7962 | Val Acc: 0.7248 | Train Loss: 0.8093 | Val Loss: 1.0536
Epoch 44/100 | Time: 70.63s | Train Acc: 0.8038 | Val Acc: 0.6996 | Train Loss: 0.8015 | Val Loss: 1.1647
Epoch 45/100 | Time: 71.58s | Train Acc: 0.8068 | Val Acc: 0.7187 | Train Loss: 0.7859 | Val Loss: 1.0651
Epoch 46/100 | Time: 71.93s | Train Acc: 0.8186 | Val Acc: 0.7241 | Train Loss: 0.7554 | Val Loss: 1.0616
Epoch 47/100 | Time: 70.34s | Train Acc: 0.8300 | Val Acc: 0.7129 | Train Loss: 0.7381 | Val Loss: 1.1189
Epoch 48/100 | Time: 71.19s | Train Acc: 0.8377 | Val Acc: 0.7304 | Train Loss: 0.7267 | Val Loss: 1.0637
Epoch 49/100 | Time: 72.10s | Train Acc: 0.8418 | Val Acc: 0.7276 | Train Loss: 0.6983 | Val Loss: 1.0991
Epoch 50/100 | Time: 72.07s | Train Acc: 0.8486 | Val Acc: 0.7274 | Train Loss: 0.6943 | Val Loss: 1.0837
Epoch 51/100 | Time: 71.80s | Train Acc: 0.8520 | Val Acc: 0.7302 | Train Loss: 0.6798 | Val Loss: 1.0739
Epoch 52/100 | Time: 71.33s | Train Acc: 0.8550 | Val Acc: 0.7475 | Train Loss: 0.6643 | Val Loss: 1.0400
Epoch 53/100 | Time: 70.60s | Train Acc: 0.8697 | Val Acc: 0.7452 | Train Loss: 0.6352 | Val Loss: 1.0601
Epoch 54/100 | Time: 70.50s | Train Acc: 0.8733 | Val Acc: 0.7363 | Train Loss: 0.6259 | Val Loss: 1.0789
Epoch 55/100 | Time: 71.68s | Train Acc: 0.8821 | Val Acc: 0.7350 | Train Loss: 0.6020 | Val Loss: 1.0900
Epoch 56/100 | Time: 72.04s | Train Acc: 0.8870 | Val Acc: 0.7462 | Train Loss: 0.5963 | Val Loss: 1.0780
Epoch 57/100 | Time: 71.75s | Train Acc: 0.8921 | Val Acc: 0.7419 | Train Loss: 0.5820 | Val Loss: 1.0851
Epoch 58/100 | Time: 71.79s | Train Acc: 0.8946 | Val Acc: 0.7248 | Train Loss: 0.5757 | Val Loss: 1.1302
