Epoch 01/50 | Train Acc: 0.3964 | Test Acc: 0.4905 | Time: 26.33s
Epoch 02/50 | Train Acc: 0.4886 | Test Acc: 0.5292 | Time: 24.77s
Epoch 03/50 | Train Acc: 0.5251 | Test Acc: 0.5427 | Time: 28.17s
Epoch 04/50 | Train Acc: 0.5463 | Test Acc: 0.5573 | Time: 27.18s
Epoch 05/50 | Train Acc: 0.5700 | Test Acc: 0.5709 | Time: 27.03s
Epoch 06/50 | Train Acc: 0.5851 | Test Acc: 0.5802 | Time: 29.29s
Epoch 07/50 | Train Acc: 0.6012 | Test Acc: 0.5788 | Time: 25.43s
Epoch 08/50 | Train Acc: 0.6151 | Test Acc: 0.5904 | Time: 26.31s
Epoch 09/50 | Train Acc: 0.6282 | Test Acc: 0.5951 | Time: 23.32s
Epoch 10/50 | Train Acc: 0.6394 | Test Acc: 0.6089 | Time: 23.19s
Epoch 11/50 | Train Acc: 0.6519 | Test Acc: 0.6106 | Time: 25.57s
Epoch 12/50 | Train Acc: 0.6618 | Test Acc: 0.6165 | Time: 27.81s
Epoch 13/50 | Train Acc: 0.6739 | Test Acc: 0.6212 | Time: 26.36s
Epoch 14/50 | Train Acc: 0.6836 | Test Acc: 0.6272 | Time: 29.88s
Epoch 15/50 | Train Acc: 0.6941 | Test Acc: 0.6316 | Time: 23.19s
Epoch 16/50 | Train Acc: 0.7027 | Test Acc: 0.6319 | Time: 24.49s
Epoch 17/50 | Train Acc: 0.7127 | Test Acc: 0.6294 | Time: 25.70s
Epoch 18/50 | Train Acc: 0.7198 | Test Acc: 0.6268 | Time: 23.93s
Epoch 19/50 | Train Acc: 0.7309 | Test Acc: 0.6361 | Time: 25.79s
Epoch 20/50 | Train Acc: 0.7392 | Test Acc: 0.6414 | Time: 24.57s
Epoch 21/50 | Train Acc: 0.7470 | Test Acc: 0.6299 | Time: 23.77s
Epoch 22/50 | Train Acc: 0.7542 | Test Acc: 0.6356 | Time: 23.31s
Epoch 23/50 | Train Acc: 0.7613 | Test Acc: 0.6425 | Time: 23.34s
Epoch 24/50 | Train Acc: 0.7674 | Test Acc: 0.6403 | Time: 26.71s
Epoch 25/50 | Train Acc: 0.7763 | Test Acc: 0.6391 | Time: 27.18s
Epoch 26/50 | Train Acc: 0.7838 | Test Acc: 0.6392 | Time: 26.70s
Epoch 27/50 | Train Acc: 0.7940 | Test Acc: 0.6425 | Time: 27.40s
Epoch 28/50 | Train Acc: 0.7953 | Test Acc: 0.6465 | Time: 26.56s
Epoch 29/50 | Train Acc: 0.8011 | Test Acc: 0.6523 | Time: 26.43s
Epoch 30/50 | Train Acc: 0.8081 | Test Acc: 0.6540 | Time: 26.37s
Epoch 31/50 | Train Acc: 0.8147 | Test Acc: 0.6485 | Time: 25.51s
Epoch 32/50 | Train Acc: 0.8202 | Test Acc: 0.6522 | Time: 25.09s
Epoch 33/50 | Train Acc: 0.8232 | Test Acc: 0.6483 | Time: 25.79s
Epoch 34/50 | Train Acc: 0.8300 | Test Acc: 0.6542 | Time: 26.10s
Epoch 35/50 | Train Acc: 0.8363 | Test Acc: 0.6520 | Time: 25.44s
Epoch 36/50 | Train Acc: 0.8365 | Test Acc: 0.6511 | Time: 26.25s
Epoch 37/50 | Train Acc: 0.8388 | Test Acc: 0.6535 | Time: 25.06s
Epoch 38/50 | Train Acc: 0.8463 | Test Acc: 0.6532 | Time: 25.65s
Epoch 39/50 | Train Acc: 0.8474 | Test Acc: 0.6518 | Time: 26.22s
Epoch 40/50 | Train Acc: 0.8519 | Test Acc: 0.6534 | Time: 25.33s
Epoch 41/50 | Train Acc: 0.8552 | Test Acc: 0.6548 | Time: 26.27s
Epoch 42/50 | Train Acc: 0.8584 | Test Acc: 0.6537 | Time: 26.33s
Epoch 43/50 | Train Acc: 0.8593 | Test Acc: 0.6535 | Time: 25.55s
Epoch 44/50 | Train Acc: 0.8605 | Test Acc: 0.6551 | Time: 25.58s
Epoch 45/50 | Train Acc: 0.8640 | Test Acc: 0.6541 | Time: 25.62s
Epoch 46/50 | Train Acc: 0.8644 | Test Acc: 0.6556 | Time: 25.44s
Epoch 47/50 | Train Acc: 0.8617 | Test Acc: 0.6547 | Time: 25.93s
Epoch 48/50 | Train Acc: 0.8653 | Test Acc: 0.6558 | Time: 25.02s
Epoch 49/50 | Train Acc: 0.8665 | Test Acc: 0.6543 | Time: 25.19s
Epoch 50/50 | Train Acc: 0.8648 | Test Acc: 0.6543 | Time: 27.60s
