Epoch 1/100 | Time: 86.85s | Train Acc: 0.2884 | Val Acc: 0.3646 | Train Loss: 2.0331 | Val Loss: 1.9158
Epoch 2/100 | Time: 98.91s | Train Acc: 0.4641 | Val Acc: 0.5055 | Train Loss: 1.6587 | Val Loss: 1.5864
Epoch 3/100 | Time: 101.89s | Train Acc: 0.5436 | Val Acc: 0.5391 | Train Loss: 1.4747 | Val Loss: 1.4751
Epoch 4/100 | Time: 103.91s | Train Acc: 0.5799 | Val Acc: 0.5766 | Train Loss: 1.3692 | Val Loss: 1.3891
Epoch 5/100 | Time: 105.26s | Train Acc: 0.6195 | Val Acc: 0.6094 | Train Loss: 1.2798 | Val Loss: 1.3312
Epoch 6/100 | Time: 106.04s | Train Acc: 0.6480 | Val Acc: 0.6443 | Train Loss: 1.2027 | Val Loss: 1.2230
Epoch 7/100 | Time: 104.19s | Train Acc: 0.6745 | Val Acc: 0.6706 | Train Loss: 1.1367 | Val Loss: 1.2070
Epoch 8/100 | Time: 105.25s | Train Acc: 0.6950 | Val Acc: 0.6754 | Train Loss: 1.0908 | Val Loss: 1.1589
Epoch 9/100 | Time: 106.39s | Train Acc: 0.7136 | Val Acc: 0.6787 | Train Loss: 1.0478 | Val Loss: 1.1625
Epoch 10/100 | Time: 103.62s | Train Acc: 0.7234 | Val Acc: 0.6869 | Train Loss: 1.0236 | Val Loss: 1.1406
Epoch 11/100 | Time: 104.32s | Train Acc: 0.6683 | Val Acc: 0.6392 | Train Loss: 1.1495 | Val Loss: 1.2648
Epoch 12/100 | Time: 105.75s | Train Acc: 0.6780 | Val Acc: 0.6589 | Train Loss: 1.1233 | Val Loss: 1.1995
Epoch 13/100 | Time: 107.43s | Train Acc: 0.6980 | Val Acc: 0.6619 | Train Loss: 1.0828 | Val Loss: 1.2141
Epoch 14/100 | Time: 106.40s | Train Acc: 0.7100 | Val Acc: 0.6724 | Train Loss: 1.0401 | Val Loss: 1.1734
Epoch 15/100 | Time: 104.60s | Train Acc: 0.7223 | Val Acc: 0.6762 | Train Loss: 1.0141 | Val Loss: 1.1635
Epoch 16/100 | Time: 105.07s | Train Acc: 0.7371 | Val Acc: 0.6897 | Train Loss: 0.9783 | Val Loss: 1.1232
Epoch 17/100 | Time: 104.45s | Train Acc: 0.7567 | Val Acc: 0.7203 | Train Loss: 0.9322 | Val Loss: 1.0722
Epoch 18/100 | Time: 103.04s | Train Acc: 0.7677 | Val Acc: 0.6963 | Train Loss: 0.8958 | Val Loss: 1.1324
Epoch 19/100 | Time: 106.29s | Train Acc: 0.7771 | Val Acc: 0.7101 | Train Loss: 0.8699 | Val Loss: 1.1009
Epoch 20/100 | Time: 104.88s | Train Acc: 0.7951 | Val Acc: 0.7096 | Train Loss: 0.8224 | Val Loss: 1.1041
Epoch 21/100 | Time: 105.13s | Train Acc: 0.8022 | Val Acc: 0.7297 | Train Loss: 0.8075 | Val Loss: 1.0693
Epoch 22/100 | Time: 103.90s | Train Acc: 0.8124 | Val Acc: 0.7192 | Train Loss: 0.7843 | Val Loss: 1.0750
Epoch 23/100 | Time: 104.35s | Train Acc: 0.8359 | Val Acc: 0.7159 | Train Loss: 0.7316 | Val Loss: 1.1031
Epoch 24/100 | Time: 103.51s | Train Acc: 0.8450 | Val Acc: 0.7231 | Train Loss: 0.7069 | Val Loss: 1.1151
Epoch 25/100 | Time: 103.72s | Train Acc: 0.8570 | Val Acc: 0.7246 | Train Loss: 0.6812 | Val Loss: 1.0963
Epoch 26/100 | Time: 104.92s | Train Acc: 0.8676 | Val Acc: 0.7332 | Train Loss: 0.6570 | Val Loss: 1.0861
Epoch 27/100 | Time: 104.80s | Train Acc: 0.8786 | Val Acc: 0.7246 | Train Loss: 0.6381 | Val Loss: 1.0992
Epoch 28/100 | Time: 105.07s | Train Acc: 0.8801 | Val Acc: 0.7231 | Train Loss: 0.6254 | Val Loss: 1.0999
Epoch 29/100 | Time: 105.25s | Train Acc: 0.8866 | Val Acc: 0.7210 | Train Loss: 0.6144 | Val Loss: 1.1053
