Epoch 1/100 | Time: 79.98s | Train Acc: 0.2783 | Val Acc: 0.4143 | Train Loss: 2.0610 | Val Loss: 1.7894
Epoch 2/100 | Time: 84.84s | Train Acc: 0.4775 | Val Acc: 0.4996 | Train Loss: 1.6363 | Val Loss: 1.5668
Epoch 3/100 | Time: 85.82s | Train Acc: 0.5488 | Val Acc: 0.5628 | Train Loss: 1.4461 | Val Loss: 1.4067
Epoch 4/100 | Time: 85.78s | Train Acc: 0.6049 | Val Acc: 0.6028 | Train Loss: 1.3155 | Val Loss: 1.3407
Epoch 5/100 | Time: 84.61s | Train Acc: 0.6357 | Val Acc: 0.6176 | Train Loss: 1.2419 | Val Loss: 1.3038
Epoch 6/100 | Time: 84.41s | Train Acc: 0.6665 | Val Acc: 0.6474 | Train Loss: 1.1646 | Val Loss: 1.2332
Epoch 7/100 | Time: 84.47s | Train Acc: 0.6925 | Val Acc: 0.6624 | Train Loss: 1.0992 | Val Loss: 1.2028
Epoch 8/100 | Time: 84.79s | Train Acc: 0.7111 | Val Acc: 0.6803 | Train Loss: 1.0564 | Val Loss: 1.1528
Epoch 9/100 | Time: 84.19s | Train Acc: 0.7155 | Val Acc: 0.6848 | Train Loss: 1.0316 | Val Loss: 1.1499
Epoch 10/100 | Time: 84.99s | Train Acc: 0.7269 | Val Acc: 0.6889 | Train Loss: 1.0145 | Val Loss: 1.1421
Epoch 11/100 | Time: 86.62s | Train Acc: 0.6899 | Val Acc: 0.6652 | Train Loss: 1.1048 | Val Loss: 1.2042
Epoch 12/100 | Time: 86.54s | Train Acc: 0.7012 | Val Acc: 0.6538 | Train Loss: 1.0788 | Val Loss: 1.2016
Epoch 13/100 | Time: 85.33s | Train Acc: 0.7077 | Val Acc: 0.6861 | Train Loss: 1.0562 | Val Loss: 1.1488
Epoch 14/100 | Time: 86.39s | Train Acc: 0.7218 | Val Acc: 0.6660 | Train Loss: 1.0181 | Val Loss: 1.2131
Epoch 15/100 | Time: 85.16s | Train Acc: 0.7338 | Val Acc: 0.6864 | Train Loss: 0.9862 | Val Loss: 1.1504
Epoch 16/100 | Time: 83.39s | Train Acc: 0.7490 | Val Acc: 0.6854 | Train Loss: 0.9472 | Val Loss: 1.1663
Epoch 17/100 | Time: 83.61s | Train Acc: 0.7647 | Val Acc: 0.7029 | Train Loss: 0.9172 | Val Loss: 1.1014
Epoch 18/100 | Time: 85.66s | Train Acc: 0.7687 | Val Acc: 0.6999 | Train Loss: 0.8943 | Val Loss: 1.1070
Epoch 19/100 | Time: 83.45s | Train Acc: 0.7812 | Val Acc: 0.6897 | Train Loss: 0.8673 | Val Loss: 1.1480
Epoch 20/100 | Time: 84.72s | Train Acc: 0.7985 | Val Acc: 0.7009 | Train Loss: 0.8269 | Val Loss: 1.1440
Epoch 21/100 | Time: 84.39s | Train Acc: 0.8084 | Val Acc: 0.7218 | Train Loss: 0.7986 | Val Loss: 1.0853
Epoch 22/100 | Time: 84.26s | Train Acc: 0.8166 | Val Acc: 0.7129 | Train Loss: 0.7734 | Val Loss: 1.1125
Epoch 23/100 | Time: 84.74s | Train Acc: 0.8250 | Val Acc: 0.7146 | Train Loss: 0.7543 | Val Loss: 1.1134
Epoch 24/100 | Time: 83.96s | Train Acc: 0.8379 | Val Acc: 0.7231 | Train Loss: 0.7290 | Val Loss: 1.0971
Epoch 25/100 | Time: 84.01s | Train Acc: 0.8496 | Val Acc: 0.7210 | Train Loss: 0.7013 | Val Loss: 1.1186
Epoch 26/100 | Time: 83.97s | Train Acc: 0.8529 | Val Acc: 0.7256 | Train Loss: 0.6903 | Val Loss: 1.1022
Epoch 27/100 | Time: 85.16s | Train Acc: 0.8585 | Val Acc: 0.7274 | Train Loss: 0.6732 | Val Loss: 1.1102
Epoch 28/100 | Time: 85.01s | Train Acc: 0.8633 | Val Acc: 0.7299 | Train Loss: 0.6713 | Val Loss: 1.1070
Epoch 29/100 | Time: 85.74s | Train Acc: 0.8650 | Val Acc: 0.7327 | Train Loss: 0.6627 | Val Loss: 1.1044
Epoch 30/100 | Time: 85.65s | Train Acc: 0.8651 | Val Acc: 0.7348 | Train Loss: 0.6579 | Val Loss: 1.1001
Epoch 31/100 | Time: 84.14s | Train Acc: 0.8082 | Val Acc: 0.7039 | Train Loss: 0.7910 | Val Loss: 1.1360
Epoch 32/100 | Time: 85.18s | Train Acc: 0.8081 | Val Acc: 0.6922 | Train Loss: 0.7895 | Val Loss: 1.1785
Epoch 33/100 | Time: 83.86s | Train Acc: 0.8115 | Val Acc: 0.6910 | Train Loss: 0.7840 | Val Loss: 1.1898
Epoch 34/100 | Time: 83.30s | Train Acc: 0.8206 | Val Acc: 0.7024 | Train Loss: 0.7651 | Val Loss: 1.1414
Epoch 35/100 | Time: 82.06s | Train Acc: 0.8306 | Val Acc: 0.7134 | Train Loss: 0.7376 | Val Loss: 1.1454
Epoch 36/100 | Time: 83.21s | Train Acc: 0.8323 | Val Acc: 0.7177 | Train Loss: 0.7297 | Val Loss: 1.1395
Epoch 37/100 | Time: 83.48s | Train Acc: 0.8392 | Val Acc: 0.7187 | Train Loss: 0.7132 | Val Loss: 1.1428
Epoch 38/100 | Time: 83.46s | Train Acc: 0.8441 | Val Acc: 0.7225 | Train Loss: 0.7012 | Val Loss: 1.1184
Epoch 39/100 | Time: 83.63s | Train Acc: 0.8510 | Val Acc: 0.7208 | Train Loss: 0.6840 | Val Loss: 1.1174
Epoch 40/100 | Time: 82.78s | Train Acc: 0.8605 | Val Acc: 0.7225 | Train Loss: 0.6645 | Val Loss: 1.1066
Epoch 41/100 | Time: 83.22s | Train Acc: 0.8580 | Val Acc: 0.7141 | Train Loss: 0.6541 | Val Loss: 1.1293
Epoch 42/100 | Time: 83.95s | Train Acc: 0.8731 | Val Acc: 0.7210 | Train Loss: 0.6296 | Val Loss: 1.1106
Epoch 43/100 | Time: 82.31s | Train Acc: 0.8813 | Val Acc: 0.7343 | Train Loss: 0.6120 | Val Loss: 1.1272
Epoch 44/100 | Time: 81.95s | Train Acc: 0.8837 | Val Acc: 0.7353 | Train Loss: 0.6054 | Val Loss: 1.1102
Epoch 45/100 | Time: 82.72s | Train Acc: 0.8901 | Val Acc: 0.7376 | Train Loss: 0.5910 | Val Loss: 1.1205
Epoch 46/100 | Time: 83.01s | Train Acc: 0.8948 | Val Acc: 0.7218 | Train Loss: 0.5750 | Val Loss: 1.1509
Epoch 47/100 | Time: 83.82s | Train Acc: 0.9006 | Val Acc: 0.7129 | Train Loss: 0.5556 | Val Loss: 1.1749
Epoch 48/100 | Time: 84.84s | Train Acc: 0.9073 | Val Acc: 0.7279 | Train Loss: 0.5424 | Val Loss: 1.1536
Epoch 49/100 | Time: 84.67s | Train Acc: 0.9189 | Val Acc: 0.7353 | Train Loss: 0.5201 | Val Loss: 1.1420
Epoch 50/100 | Time: 83.47s | Train Acc: 0.9196 | Val Acc: 0.7327 | Train Loss: 0.5134 | Val Loss: 1.1459
Epoch 51/100 | Time: 85.49s | Train Acc: 0.9250 | Val Acc: 0.7169 | Train Loss: 0.4996 | Val Loss: 1.1893
Epoch 52/100 | Time: 83.12s | Train Acc: 0.9298 | Val Acc: 0.7340 | Train Loss: 0.4917 | Val Loss: 1.1416
Epoch 53/100 | Time: 83.89s | Train Acc: 0.9337 | Val Acc: 0.7205 | Train Loss: 0.4761 | Val Loss: 1.1861
Epoch 54/100 | Time: 83.83s | Train Acc: 0.9373 | Val Acc: 0.7310 | Train Loss: 0.4726 | Val Loss: 1.1857
Epoch 55/100 | Time: 84.67s | Train Acc: 0.9435 | Val Acc: 0.7317 | Train Loss: 0.4561 | Val Loss: 1.1720
Epoch 56/100 | Time: 83.88s | Train Acc: 0.9498 | Val Acc: 0.7299 | Train Loss: 0.4450 | Val Loss: 1.1893
Epoch 57/100 | Time: 84.42s | Train Acc: 0.9531 | Val Acc: 0.7363 | Train Loss: 0.4370 | Val Loss: 1.1566
